interpro_ids	GO_terms
IPR000009	GO:0019888
IPR000011	GO:0008641
IPR000023	GO:0003872
IPR000035	GO:0003905
IPR000039	GO:0003735
IPR000048	GO:0005515
IPR000049	GO:0009055
IPR000054	GO:0003735
IPR000056	GO:0016857
IPR000058	GO:0008270
IPR000059	GO:0000287 GO:0016818 GO:0030145
IPR000061	GO:0003723
IPR000077	GO:0003735
IPR000086	GO:0016787
IPR000101	GO:0036374
IPR000109	GO:0022857
IPR000111	GO:0004553
IPR000114	GO:0003735 GO:0019843
IPR000115	GO:0004637
IPR000120	GO:0004040
IPR000131	GO:0046933
IPR000132	GO:0016810
IPR000133	GO:0046923
IPR000146	GO:0016791
IPR000164	GO:0003677
IPR000165	GO:0004339
IPR000178	GO:0003743 GO:0005525
IPR000182	GO:0008080
IPR000183	GO:0003824
IPR000194	GO:0005524
IPR000196	GO:0003735
IPR000206	GO:0003735
IPR000209	GO:0004252
IPR000210	GO:0005515
IPR000212	GO:0003677 GO:0003678 GO:0005524
IPR000218	GO:0003735
IPR000219	GO:0005089
IPR000222	GO:0043169
IPR000223	GO:0008236
IPR000225	GO:0005515
IPR000231	GO:0003723 GO:0003735
IPR000232	GO:0003700 GO:0043565
IPR000242	GO:0004725
IPR000243	GO:0004175
IPR000245	GO:0015078
IPR000253	GO:0005515
IPR000257	GO:0004853
IPR000261	GO:0005515
IPR000262	GO:0016491
IPR000266	GO:0003735
IPR000268	GO:0003677 GO:0003899
IPR000270	GO:0005515
IPR000271	GO:0003735
IPR000277	GO:0030170
IPR000289	GO:0003735
IPR000292	GO:0022857
IPR000297	GO:0003755
IPR000298	GO:0015002
IPR000304	GO:0004735
IPR000306	GO:0046872
IPR000307	GO:0003735
IPR000308	GO:0019904
IPR000312	GO:0016757
IPR000319	GO:0004073 GO:0050661
IPR000322	GO:0004553
IPR000330	GO:0005524
IPR000340	GO:0008138
IPR000352	GO:0003747
IPR000357	GO:0005515
IPR000358	GO:0004748 GO:0005515
IPR000366	GO:0004932
IPR000374	GO:0016772
IPR000375	GO:0005525
IPR000380	GO:0003677 GO:0003917
IPR000387	GO:0016791
IPR000396	GO:0004115
IPR000398	GO:0004799
IPR000399	GO:0000287 GO:0030976
IPR000406	GO:0005094
IPR000407	GO:0016787
IPR000415	GO:0016491
IPR000417	GO:0004417
IPR000420	GO:0005199
IPR000422	GO:0008686
IPR000424	GO:0003697
IPR000425	GO:0015267
IPR000426	GO:0004175
IPR000432	GO:0005524 GO:0030983
IPR000433	GO:0008270
IPR000439	GO:0003735
IPR000445	GO:0003677
IPR000447	GO:0004368
IPR000453	GO:0004107
IPR000454	GO:0015078
IPR000456	GO:0003735
IPR000462	GO:0016780
IPR000465	GO:0003684
IPR000467	GO:0003676
IPR000473	GO:0003735
