interpro_id	ECs	SCOPs
IPR000001		b.47.1.2 g.10.1.1 g.14.1.1 g.3.11.1 g.32.1.1
IPR000003		a.123.1.1 g.39.1.2
IPR000006		g.46.1.1
IPR000007		d.23.1.1
IPR000008		b.7.1.1 b.7.1.2 g.49.1.1
IPR000009		
IPR000010		d.17.1.2
IPR000011		
IPR000012		j.11.1.1
IPR000013	3.4.24.77	d.92.1.1
IPR000014		d.110.3.1 d.110.3.2 d.110.3.5 d.110.3.6 d.110.3.7 d.110.3.9
IPR000015		b.167.1.1
IPR000018		
IPR000020		a.50.1.1
IPR000021		
IPR000023	2.7.1.11	c.89.1.1
IPR000025		
IPR000026		d.1.1.2 d.1.1.3 d.1.1.4
IPR000028		a.39.3.1
IPR000030		a.25.4.2
IPR000031		c.23.8.1
IPR000032		d.94.1.1
IPR000033		b.68.5.1
IPR000034		
IPR000035	3.2.2.21	a.96.1.3
IPR000036	3.4.23	f.4.4.1
IPR000037		b.111.1.1
IPR000039		c.12.1.1 i.1.1.2
IPR000040		b.2.5.6
IPR000043	3.3.1.1	c.2.1.4 c.23.12.3
IPR000044		
IPR000045	3.4.23	
IPR000046		
IPR000047		a.4.1.1
IPR000048		c.37.1.9 k.1.1.1
IPR000049		c.26.2.3
IPR000052		
IPR000053	2.4.2	a.46.2.1 c.27.1.1 d.41.3.1
IPR000054		d.29.1.1 i.1.1.2
IPR000055		d.287.1.2
IPR000056	5.1.3.1	c.1.2.2
IPR000057		
IPR000058		g.80.1.1
IPR000059	3.6.1	
IPR000060		
IPR000061		a.217.1.1
IPR000064	3.4	d.3.1.16
IPR000065		a.26.1.1
IPR000066		f.3.1.1
IPR000067		
IPR000068		
IPR000069	3.6.4.13 3.6.1.15 3.4.21.91 2.7.7.48 2.1.1.57 2.1.1.56	
IPR000070	3.1.1.11	b.80.1.5
IPR000071		a.61.1.1 a.73.1.1
IPR000072		g.17.1.1
IPR000073		c.69.1.10 c.69.1.11 c.69.1.12 c.69.1.18 c.69.1.20 c.69.1.23 c.69.1.26 c.69.1.28 c.69.1.35 c.69.1.40 c.69.1.6 c.69.1.7 c.69.1.8
IPR000074		a.24.1.1 h.5.1.1 j.39.1.1
IPR000076		
IPR000077		a.137.1.1 i.1.1.2
IPR000079		
IPR000081	3.6.1.15 3.4.22.29 3.4.22.28 2.7.7.48	b.47.1.4
IPR000082		d.58.41.1
IPR000083		g.14.1.2 g.27.1.1
IPR000084		a.25.4.1
IPR000085	3.6.4.12	a.5.1.1 a.60.2.1 b.40.4.2
IPR000086		d.113.1.1 d.113.1.2 d.113.1.3 d.113.1.4 d.113.1.5 d.113.1.6 d.113.1.7
IPR000089		b.84.1.1
IPR000090		a.118.14.1
IPR000091		
IPR000092	2.5.1	a.128.1.1
IPR000093		e.49.1.1
IPR000095		a.68.1.1 j.65.1.1 j.66.1.1
IPR000096		
IPR000098		a.26.1.3
IPR000100	3.1.26.5	d.14.1.2
IPR000101	3.4.19.13 2.3.2.2	d.153.1.6
IPR000102		
IPR000104		j.21.1.1
IPR000105		
IPR000109		
IPR000110		
IPR000111	3.2.1.22	c.1.8.1
IPR000112		
IPR000114		d.41.4.2 i.1.1.2
IPR000115	6.3.4.13	b.84.2.1 c.30.1.1 d.142.1.2
IPR000116		j.10.1.1
IPR000117		
IPR000118		g.3.16.1
IPR000119		a.55.1.1
IPR000120	6.3.5.7	c.117.1.1
IPR000121	2.7	c.1.12.2 c.8.1.2
IPR000123	2.7.7.49	
IPR000124		b.23.1.1
IPR000125	3.2.1.2	c.1.8.1
IPR000126	3.4.21	b.47.1.1
IPR000128		
IPR000131		c.49.2.1 i.3.1.1
IPR000132		
IPR000133		
