uniprot_id	seq_len
A0A000	394
A0A001	591
A0A002	564
A0A003	340
A0A004	645
A0A005	402
A0A006	513
A0A007	407
A0A008	427
A0A009	530
A0A009DWB1	45
A0A009DWC5	52
A0A009DWD5	39
A0A009DWE1	126
A0A009DWF0	36
A0A009DWF5	118
A0A009DWF8	47
A0A009DWH9	65
A0A009DWI3	113
A0A009DWI9	90
A0A009DWJ5	47
A0A009DWL0	76
A0A009DWL5	45
A0A009DWM1	175
A0A009DWN1	178
A0A009DWP3	133
A0A009DWP7	78
A0A009DWW6	197
A0A009DWX0	149
A0A009DWZ5	86
A0A009DX03	48
A0A009DXC5	60
A0A009DXE7	188
A0A009DXK7	82
A0A009DXM2	165
A0A009DXP2	81
A0A009DXR6	105
A0A009DXU1	104
A0A009DXW5	58
A0A009DXY7	292
A0A009DY31	48
A0A009DY47	56
A0A009DYA3	50
A0A009DYC8	108
A0A009DYF2	112
A0A009DYI3	99
A0A009DYX5	209
A0A009DZ29	122
A0A009DZ65	291
A0A009DZ91	101
A0A009DZA9	103
A0A009DZF2	81
A0A009DZN6	129
A0A009DZQ8	33
A0A009DZV4	98
A0A009E000	177
A0A009E034	142
A0A009E088	96
A0A009E0A3	195
A0A009E0A5	97
A0A009E0H6	47
A0A009E0K2	66
A0A009E0P1	224
A0A009E0R3	127
A0A009E0R9	101
A0A009E0T7	109
A0A009E0W0	105
A0A009E0W4	100
A0A009E0Y6	193
A0A009E130	68
A0A009E1D7	226
A0A009E1L4	74
A0A009E1R1	95
A0A009E233	255
A0A009E282	123
A0A009E284	118
A0A009E2B1	53
A0A009E2R5	70
A0A009E2X0	252
A0A009E3I5	71
A0A009E3J3	45
A0A009E3M2	305
A0A009E3R0	78
A0A009E3R5	126
A0A009E3V5	40
A0A009E4H8	233
A0A009E4L8	195
A0A009E4R3	82
A0A009E4X5	131
A0A009E4Y0	45
A0A009E584	96
A0A009E5D3	204
A0A009E5S5	54
A0A009E5V4	165
A0A009E669	166
A0A009E6A1	320
A0A009E6I2	300
A0A009E6U8	147
A0A009E753	100
